vehicle_count,avg_speed,time_of_day,weather,traffic_level
62,36,11,0,Medium
40,45,1,0,Low
81,31,2,2,Medium
96,10,17,0,Medium
47,78,15,2,Low
197,31,18,2,High
55,57,21,2,Low
169,22,12,0,High
24,73,7,0,Low
85,67,18,0,Medium
174,32,2,1,High
12,77,22,2,Low
107,74,7,0,Medium
148,36,10,1,High
182,31,15,2,High
155,19,23,1,High
154,11,18,1,High
169,76,23,0,High
71,69,11,2,Medium
124,29,22,1,High
58,35,11,1,Low
33,16,22,2,Low
196,25,1,0,High
148,52,17,0,High
20,19,19,0,Low
187,11,13,1,High
110,44,23,2,Medium
129,13,5,0,High
77,58,10,0,Medium
179,16,8,1,High
42,74,22,1,Low
194,23,14,1,High
113,50,21,0,Medium
104,33,1,2,Medium
97,36,19,0,Medium
48,23,3,2,Low
27,70,14,0,Low
46,22,22,2,Low
72,29,17,1,Medium
187,12,8,0,High
191,56,1,2,High
193,19,17,1,High
119,78,22,0,Medium
139,70,16,1,High
57,74,7,1,Low
132,78,20,0,High
125,33,20,2,High
109,14,20,2,Medium
112,25,19,1,Medium
152,37,13,2,High
108,21,1,0,Medium
142,63,2,0,High
125,33,13,2,High
133,59,19,0,High
93,26,6,2,Medium
141,15,17,2,High
151,45,1,2,High
194,26,4,2,High
171,58,1,1,High
50,45,15,2,Low
76,16,11,1,Medium
187,36,16,0,High
21,45,22,0,Low
23,20,5,1,Low
146,61,12,1,High
69,43,20,2,Medium
13,28,17,2,Low
23,70,23,2,Low
175,15,19,0,High
149,62,19,1,High
64,43,11,0,Medium
140,79,17,0,High
170,67,16,1,High
122,31,12,0,High
142,14,6,1,High
153,46,21,0,High
76,18,14,0,Medium
18,18,7,0,Low
167,17,22,0,High
15,62,19,1,Low
116,34,20,1,Medium
100,70,6,1,Medium
178,12,2,2,High
164,57,1,2,High
51,53,11,0,Low
75,44,13,2,Medium
84,38,8,2,Medium
161,44,11,1,High
13,66,14,1,Low
127,73,18,2,High
11,57,15,2,Low
145,74,11,1,High
132,39,18,1,High
26,53,0,2,Low
198,24,8,2,High
186,23,13,0,High
70,39,21,2,Medium
34,18,22,2,Low
173,72,13,0,High
194,67,15,2,High
105,36,10,1,Medium
183,15,6,0,High
31,78,2,0,Low
178,10,9,1,High
35,37,19,2,Low
147,66,11,2,High
75,49,22,2,Medium
102,57,23,1,Medium
186,55,12,0,High
90,72,16,1,Medium
72,30,21,1,Medium
119,59,5,0,Medium
171,42,22,2,High
27,72,4,1,Low
117,59,8,2,Medium
58,51,12,0,Low
74,60,13,0,Medium
40,10,13,0,Low
29,35,4,1,Low
155,43,14,1,High
146,35,3,1,High
84,56,6,0,Medium
49,51,20,2,Low
80,19,6,1,Medium
85,72,6,2,Medium
171,26,18,2,High
45,10,23,1,Low
187,59,0,1,High
183,26,14,1,High
143,57,18,2,High
66,63,23,0,Medium
20,19,14,1,Low
54,48,8,1,Low
166,51,16,2,High
183,28,8,0,High
196,29,12,0,High
177,23,7,2,High
164,18,8,1,High
173,27,16,0,High
69,46,9,0,Medium
142,47,20,0,High
114,15,2,2,Medium
83,46,5,2,Medium
66,79,16,2,Medium
67,65,10,1,Medium
95,14,23,2,Medium
111,61,2,1,Medium
78,53,6,2,Medium
65,68,18,2,Medium
136,32,13,2,High
199,48,22,0,High
123,33,19,2,High
192,43,3,0,High
160,11,12,0,High
13,77,1,1,Low
70,55,22,2,Medium
183,30,19,1,High
118,44,8,0,Medium
104,25,13,2,Medium
30,75,0,0,Low
191,67,0,0,High
118,50,2,1,Medium
58,78,12,0,Low
195,16,7,1,High
153,44,22,2,High
164,44,2,1,High
116,53,4,2,Medium
174,44,6,1,High
162,32,15,0,High
162,44,10,2,High
42,46,18,1,Low
187,23,20,1,High
38,60,18,0,Low
85,78,0,1,Medium
172,78,3,2,High
146,59,20,2,High
61,24,13,1,Medium
68,55,2,0,Medium
60,72,7,2,Low
156,24,21,2,High
50,53,22,0,Low
75,69,9,2,Medium
46,10,18,2,Low
129,45,23,1,High
163,74,9,1,High
185,35,9,0,High
184,54,15,2,High
49,18,23,1,Low
169,32,20,0,High
147,12,2,2,High
121,43,16,1,High
101,73,8,2,Medium
124,27,8,2,High
147,76,22,2,High
153,45,19,2,High
82,66,23,0,Medium
95,20,8,2,Medium
136,71,4,2,High
49,39,2,0,Low
174,45,21,2,High
54,79,22,0,Low
32,57,2,2,Low
47,58,5,0,Low
194,42,18,2,High
193,32,8,1,High
43,21,19,1,Low
116,72,4,0,Medium
10,34,1,0,Low
150,32,7,0,High
180,19,9,1,High
43,14,0,2,Low
97,70,16,1,Medium
120,42,1,2,Medium
118,37,4,2,Medium
172,39,14,1,High
154,33,6,1,High
81,34,11,0,Medium
80,77,19,0,Medium
146,17,9,1,High
67,71,14,2,Medium
56,13,17,2,Low
185,25,2,1,High
31,11,13,2,Low
30,62,21,1,Low
180,54,11,0,High
72,70,13,2,Medium
18,51,1,2,Low
113,79,0,0,Medium
110,33,19,0,Medium
44,23,0,2,Low
142,12,21,2,High
63,24,0,1,Medium
77,68,17,1,Medium
108,37,20,0,Medium
160,25,0,1,High
129,31,8,2,High
46,29,6,0,Low
45,10,9,1,Low
43,18,6,0,Low
189,63,0,2,High
146,44,11,1,High
59,21,9,0,Low
37,63,8,0,Low
165,46,5,0,High
117,46,13,1,Medium
